edge_id,std_dev
1330-2076,0.05362896
759-2075,0.0316714
840-2071,0.032862145
1309-2076,0.057892136
576-2071,0.037407894
1290-2076,0.07176568
489-2076,0.04663908
392-2076,0.068089694
499-2078,0.04098035
315-2078,0.043329585
204-2080,0.04850741
229-2080,0.091440015
319-2080,0.046594605
1117-2080,0.05406905
572-2078,0.042614065
39-2078,0.04093625
167-2078,0.042461433
1401-2079,0.052090723
620-2079,0.050904028
2029-2078,0.10434698
1797-2078,0.049250744
1572-2078,0.044711467
1254-2078,0.046446826
1120-2078,0.0452606
1093-2078,0.043935794
385-2078,0.041981686
114-2084,0.036877953
525-2082,0.041132618
461-2082,0.10905646
1931-2083,0.05108317
25-2082,0.15029673
1340-2082,0.045543328
583-2082,0.051397055
1704-2082,0.043198474
1027-2082,0.04558592
786-2089,0.044858098
1480-2089,0.057784922
1424-2087,0.0476989
692-2087,0.041332234
440-2087,0.042603705
311-2087,0.072274834
768-2087,0.11108416
1294-2087,0.07679369
1308-2087,0.03978172
206-2087,0.042298798
602-2090,0.036224682
1337-2090,0.054332584
444-2092,0.04333329
444-2093,0.05874681
510-2093,0.103686
478-2094,0.04027218
666-2097,0.09361442
54-2096,0.048771504
330-2097,0.05606156
903-2097,0.053362563
1250-2095,0.040239014
410-2095,0.072048396
751-2095,0.02910466
1229-2095,0.034788664
678-2102,0.040903684
531-2102,0.043510128
328-2101,0.11148045
151-2101,0.082135744
994-2103,0.054704353
755-2100,0.03184417
874-2100,0.03509725
731-2102,0.04069274
1042-2102,0.04088919
1164-2102,0.042753078
1542-2102,0.044215776
749-2103,0.09553471
433-2101,0.13340053
752-2100,0.049340162
1200-2106,0.11742935
757-2106,0.0516246
368-2106,0.07833749
2062-2106,0.07713444
319-2107,0.049439788
565-2107,0.048529986
204-2107,0.048499685
1116-2107,0.11169168
515-2107,0.06439644
1117-2107,0.047700334
257-2110,0.061510347
616-2111,0.10089649
229-2107,0.075499296
481-2111,0.043056652
323-2115,0.055231307
876-2113,0.051366318
1017-2116,0.06360009
314-2117,0.07434082
268-2116,0.048911724
161-2115,0.03456767
1038-2115,0.024761107
604-2113,0.044669986
27-2117,0.041820824
9-2113,0.046965823
1807-2122,0.03645162
542-2122,0.07011905
196-2128,0.075395815
709-2127,0.052634526
452-2127,0.042053048
399-2127,0.06677995
197-2127,0.11106751
1611-2128,0.067447335
86-2128,0.05005288
576-2129,0.048080634
33-2128,0.0475985
840-2129,0.05367986
2123-2130,0.06163845
282-2138,0.032095343
1925-2136,0.07379282
1162-2136,0.04342663
402-2136,0.078017175
371-2136,0.026904674
50-2136,0.058954738
341-2135,0.060096104
180-2135,0.054468278
898-2135,0.06021609
452-2136,0.04275948
755-2134,0.058128163
2100-2134,0.031035764
40-2134,0.04098872
5-2135,0.04388816
1874-2135,0.06620523
968-2139,0.10436091
1737-2143,0.04744851
178-2144,0.04264261
363-2144,0.06636177
505-2144,0.042432766
600-2142,0.05774875
552-2144,0.043597963
968-2140,0.046229474
780-2144,0.03772504
182-2144,0.041755635
1247-2144,0.04021392
1052-2144,0.026758565
409-2142,0.054577928
216-2142,0.055699583
1412-2144,0.0595575
665-2142,0.06833061
32-2143,0.04125737
79-2143,0.053208057
968-2141,0.04459944
931-2145,0.043861743
1386-2142,0.05076875
639-2146,0.052653715
1112-2146,0.058071554
281-2153,0.098599106
554-2146,0.061663598
391-2146,0.04055375
1290-2153,0.062172804
1093-2153,0.04371917
34-2146,0.06123445
15-2146,0.08890121
1587-2147,0.047844082
1120-2153,0.04432352
280-2148,0.032199997
279-2148,0.06660638
726-2148,0.09842757
1423-2137,0.05946376
605-2153,0.0447162
16-2158,0.057105258
17-2158,0.062387194
125-2158,0.12739184
421-2155,0.04567893
690-2156,0.12025906
52-2159,0.04284375
874-2156,0.07385126
253-2158,0.04235937
597-2159,0.042704783
1002-2156,0.055064734
1162-2159,0.04228499
452-2159,0.04103419
111-2157,0.045906704
970-2157,0.07788537
1925-2159,0.066423334
353-2159,0.041878466
87-2159,0.04245127
225-2160,0.056921072
484-2160,0.08012071
988-2160,0.042993724
728-2162,0.034226958
833-2164,0.045153998
1809-2164,0.067118265
1850-2164,0.056098163
1705-2165,0.059545048
1439-2162,0.04312511
2121-2165,0.10768175
1137-2165,0.15470484
2064-2164,0.042212285
1279-2171,0.03941189
1257-2171,0.042938672
1164-2171,0.042149037
731-2171,0.042458177
315-2172,0.041485373
136-2172,0.04249402
27-2171,0.043549635
48-2171,0.042961918
202-2168,0.04756369
52-2171,0.040955376
972-2167,0.042770207
571-2172,0.06265328
691-2167,0.06959539
385-2172,0.043239597
840-2167,0.036115274
1120-2172,0.045186065
572-2172,0.045257118
422-2172,0.042633913
1051-2171,0.04325174
755-2169,0.069192335
317-2167,0.038193576
1290-2169,0.063818455
751-2173,0.18148369
241-2170,0.05294708
1341-2174,0.041428473
1138-2174,0.041808832
1085-2174,0.03739248
1074-2174,0.043958403
420-2174,0.038389176
182-2176,0.04190929
1423-2174,0.0476511
1150-2170,0.10559144
632-2170,0.045088653
335-2170,0.083543114
563-2170,0.036790475
65-2170,0.06986765
66-2170,0.05090798
1429-2174,0.062308982
1412-2176,0.035007957
1247-2176,0.116454236
386-2179,0.09276714
642-2182,0.049215607
296-2182,0.07172053
1515-2179,0.04730068
118-2184,0.044642508
748-2178,0.04390853
27-2178,0.041264907
463-2178,0.04406722
109-2184,0.03915925
1689-2182,0.04320862
2095-2180,0.07928057
751-2180,0.07471215
1250-2180,0.07903773
1857-2183,0.051756695
199-2184,0.050888374
1232-2185,0.046247028
275-2185,0.0508638
851-2185,0.06692584
888-2191,0.039725356
355-2188,0.12995279
886-2185,0.057262857
1848-2185,0.029844027
749-2190,0.053981476
1594-2190,0.048726507
1094-2185,0.05379348
994-2190,0.09731959
1134-2192,0.037216082
1085-2192,0.06430553
1102-2192,0.04963385
1138-2192,0.04421592
1341-2192,0.041818693
1579-2192,0.06299379
1600-2192,0.067613535
1614-2192,0.04994163
1700-2192,0.047680613
1074-2192,0.043009665
1651-2192,0.04965182
292-2192,0.064288974
905-2193,0.048547845
149-2193,0.046937007
2-2193,0.043737527
1921-2197,0.05519949
1159-2196,0.048711784
2163-2197,0.049493894
880-2199,0.04220415
645-2195,0.093790375
82-2199,0.047807127
104-2194,0.04642591
55-2199,0.04145747
73-2199,0.041679073
338-2194,0.049126167
1210-2202,0.05293184
562-2202,0.045325056
1162-2201,0.04316241
180-2202,0.06245746
954-2205,0.041047335
353-2205,0.041082777
1167-2205,0.04345991
909-2203,0.048813965
462-2204,0.053995483
46-2203,0.05140881
1167-2204,0.02800065
1228-2204,0.12179707
1328-2203,0.053449772
336-2205,0.038402807
599-2205,0.04088599
904-2205,0.029835664
402-2203,0.057091203
1183-2211,0.07230341
1126-2209,0.039702684
1175-2211,0.039419398
1117-2216,0.04764246
1116-2216,0.056174494
319-2216,0.04666868
204-2216,0.046285834
837-2214,0.041800126
978-2214,0.043834943
979-2214,0.042482845
1279-2214,0.040661458
10-2213,0.04098664
441-2213,0.044808976
53-2217,0.055827867
530-2218,0.045544345
2188-2221,0.037116762
1117-2220,0.04504666
1116-2220,0.04816455
905-2219,0.07408601
614-2219,0.043589573
573-2219,0.04932387
391-2219,0.042432267
2-2219,0.065840505
1133-2221,0.13216427
87-2222,0.041844614
1843-2222,0.056714248
1642-2222,0.035896298
1162-2222,0.04483497
931-2222,0.052303333
597-2222,0.04407951
452-2222,0.040486485
353-2222,0.043255467
1409-2222,0.112520106
391-2226,0.04213552
546-2226,0.08407982
573-2226,0.0476311
1138-2226,0.046343505
1953-2227,0.033430394
1341-2227,0.042762317
1019-2226,0.07669933
1423-2226,0.084183164
2003-2224,0.05176857
975-2226,0.041241255
1085-2227,0.054398026
1341-2226,0.043083996
2-2226,0.12174555
1116-2228,0.050138798
726-2224,0.06222466
1935-2228,0.050573107
1886-2228,0.04237125
1074-2226,0.044950116
1469-2228,0.09329318
1117-2228,0.041957397
2118-2227,0.0419726
235-2228,0.050265104
204-2228,0.045528818
51-2227,0.0509749
1474-2228,0.048031993
1138-2227,0.04332723
319-2228,0.043029387
693-2233,0.06801288
739-2233,0.064151965
917-2233,0.041509148
87-2233,0.040830746
893-2233,0.048771102
816-2233,0.041304164
119-2233,0.05611482
58-2233,0.059642807
335-2233,0.056097716
616-2229,0.048806295
244-2233,0.048981763
183-2233,0.04467312
52-2233,0.04187763
132-2234,0.06908065
674-2232,0.054815266
237-2229,0.06330864
1047-2229,0.038975295
10-2233,0.04827745
314-2233,0.03638219
1534-2239,0.05346803
423-2239,0.05039695
112-2239,0.12117757
1276-2238,0.06562846
653-2240,0.055938784
1423-2237,0.04764068
846-2240,0.057523403
1138-2237,0.04217471
2102-2242,0.04980361
1341-2237,0.041500002
1208-2239,0.045381922
1085-2237,0.04543027
1074-2237,0.040920902
